ID,Topic,Content
1,Remote Work Policy,Employees can work remotely up to 3 days per week. Core collaboration hours are 10:00 AM to 3:00 PM EST.
2,Health Insurance,Standard medical coverage includes 80% of dental work and 100% of annual wellness checkups through BlueCross.
3,Wi-Fi Access,The office guest Wi-Fi network name is 'HQ_Guest' and the weekly rotating password is 'Spring2026!'.
4,Expense Reimbursement,Travel expenses must be submitted via the Concur portal within 30 days of the trip completion to get approved.
5,Paid Time Off (PTO),"Full-time staff members accrue 1.5 days of vacation time per month, totaling 18 paid days off per calendar year."
6,IT Support,"For laptop hardware issues or password resets, open a ticket at company.com or call extension 4357."
7,Remote Work & Hours,Core collaboration hours for all teams are 9:00 AM to 4:00 PM EST. [Ref Code: OX-1001]
8,Health & Wellness,"Employees receive a $5000 annual stipend for gym memberships, fitness trackers, or sports gear. [Ref Code: OX-1002]"
9,Office & Security,The office building doors automatically lock at 4 PM on weekdays and remain locked all weekend. [Ref Code: OX-1003]
10,Expense & Travel,Hotel stays for corporate conferences must not exceed $500 per night without VP sign-off. [Ref Code: OX-1004]
11,Time Off & Leave,"Full-time staff members accrue 3 days of vacation time per month, totaling 20 days yearly. [Ref Code: OX-1005]"
12,IT & Hardware,Laptops are eligible for hardware refreshes every 2 years from the initial deployment date. [Ref Code: OX-1006]
13,Benefits & Perks,Tuition reimbursement is available up to $3000 per year for job-related degree programs. [Ref Code: OX-1007]
14,Performance & Growth,A referral bonus of $500 is paid if your recommended candidate stays with the company for 6 months. [Ref Code: OX-1008]
15,Remote Work & Hours,Flexible Friday hours allow employees to log off at 6 PM if weekly tasks are done. [Ref Code: OX-1009]
16,Health & Wellness,Mental health support is available 24/7 through our Employee Assistance Program (EAP) at 1-800-555-5678. [Ref Code: OX-1010]
17,Office & Security,The office guest Wi-Fi network name is 'Corp_Secure' and the rotating password is 'WelcomeToHQ!'. [Ref Code: OX-1011]
18,Expense & Travel,The daily meal allowance for business travel is capped at $500 including taxes and tips. [Ref Code: OX-1012]
19,Time Off & Leave,Parental leave offers 12 weeks of 100% paid time off for primary and secondary caregivers. [Ref Code: OX-1013]
20,IT & Hardware,Multi-factor authentication (MFA) via the Okta Verify app is mandatory for all system logins. [Ref Code: OX-1014]
21,Benefits & Perks,Complimentary catered lunch is provided in the main cafeteria every Monday and Friday. [Ref Code: OX-1015]
